Ukazatel,IndicatorType,"ČR, regiony",Uz01A,Roky,Pohlaví,POHZM,Věk (roky),VEK1UT,Hodnota
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,0,400000600001000,78.5149246523
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,1,400001600002000,77.7817921678
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,2,400002600003000,76.8111592045
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,3,400003600004000,75.8258204027
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,4,400004600005000,74.8396843753
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,5,400005600006000,73.8533768829
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,6,400006600007000,72.8662692392
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,7,400007600008000,71.877454628
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,8,400008600009000,70.8865538314
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,9,400009610010000,69.8940813044
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,10,410010610011000,68.90094876
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,11,410011610012000,67.9079495691
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,12,410012610013000,66.9155900878
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,13,410013610014000,65.9241554927
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,14,410014610015000,64.9338930576
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,15,410015610016000,63.9451490468
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,16,410016610017000,62.9583673023
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,17,410017610018000,61.973801578
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,18,410018610019000,60.9912137793
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,19,410019610020000,60.0098160303
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,20,410020610021000,59.0288313778
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,21,410021610022000,58.0477478962
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,22,410022610023000,57.0663470411
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,23,410023610024000,56.0846413274
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,24,410024610025000,55.1028505875
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,25,410025610026000,54.121238342
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,26,410026610027000,53.1398798938
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,27,410027610028000,52.1586457965
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,28,410028610029000,51.1773905105
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,29,410029610030000,50.1961411912
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,30,410030610031000,49.2150950895
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,31,410031610032000,48.2344922539
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,32,410032610033000,47.2545354849
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,33,410033610034000,46.2754032339
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,34,410034610035000,45.2973474499
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,35,410035610036000,44.3207562769
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,36,410036610037000,43.3461750528
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,37,410037610038000,42.3742641039
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,38,410038610039000,41.4058137051
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,39,410039610040000,40.4416615092
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,40,410040610041000,39.4822891998
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,41,410041610042000,38.5275087008
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,42,410042610043000,37.5765734209
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,43,410043610044000,36.6288167591
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,44,410044610045000,35.6838484123
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,45,410045610046000,34.7417579051
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,46,410046610047000,33.8033481062
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,47,410047610048000,32.8702682067
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,48,410048610049000,31.9441995923
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,49,410049610050000,31.0258978039
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,50,410050610051000,30.1148527501
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,51,410051610052000,29.210149197
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,52,410052610053000,28.3111278548
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,53,410053610054000,27.4175116251
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,54,410054610055000,26.529427703
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,55,410055610056000,25.6474725154
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,56,410056610057000,24.7725824894
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,57,410057610058000,23.9053181445
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,58,410058610059000,23.0455925215
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,59,410059610060000,22.1928191361
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,60,410060610061000,21.3464679388
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,61,410061610062000,20.5061866087
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,62,410062610063000,19.6720892474
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,63,410063610064000,18.845177109
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,64,410064610065000,18.027480534
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,65,410065610066000,17.221282394
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,66,410066610067000,16.428224179
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,67,410067610068000,15.6491328858
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,68,410068610069000,14.8845339112
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,69,410069610070000,14.1350394111
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,70,410070610071000,13.4013770113
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,71,410071610072000,12.6844125996
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,72,410072610073000,11.9851808816
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,73,410073610074000,11.3049021065
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,74,410074610075000,10.6453069704
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,75,410075610076000,10.0081582433
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,76,410076610077000,9.3951180782
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,77,410077610078000,8.8077572109
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,78,410078610079000,8.2474182308
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,79,410079610080000,7.7144847011
