"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2000","2000","Česko","CZ","91169"
"Narození","4355","2000","2000","Praha","CZ01","9472"
"Narození","4355","2000","2000","Střední Čechy","CZ02","9962"
"Narození","4355","2000","2000","Jihozápad","CZ03","10576"
"Narození","4355","2000","2000","Severozápad","CZ04","10953"
"Narození","4355","2000","2000","Severovýchod","CZ05","13700"
"Narození","4355","2000","2000","Jihovýchod","CZ06","14367"
"Narození","4355","2000","2000","Střední Morava","CZ07","10823"
"Narození","4355","2000","2000","Moravskoslezsko","CZ08","11316"
"Narození","4355","2000","2000","Hlavní město Praha","CZ010","9472"
"Narození","4355","2000","2000","Středočeský kraj","CZ020","9962"
"Narození","4355","2000","2000","Jihočeský kraj","CZ031","5673"
"Narození","4355","2000","2000","Plzeňský kraj","CZ032","4903"
"Narození","4355","2000","2000","Karlovarský kraj","CZ041","2907"
"Narození","4355","2000","2000","Ústecký kraj","CZ042","8046"
"Narození","4355","2000","2000","Liberecký kraj","CZ051","4099"
"Narození","4355","2000","2000","Královéhradecký kraj","CZ052","4977"
"Narození","4355","2000","2000","Pardubický kraj","CZ053","4624"
"Narození","4355","2000","2000","Kraj Vysočina","CZ063","4775"
"Narození","4355","2000","2000","Jihomoravský kraj","CZ064","9592"
"Narození","4355","2000","2000","Olomoucký kraj","CZ071","5520"
"Narození","4355","2000","2000","Zlínský kraj","CZ072","5303"
"Narození","4355","2000","2000","Moravskoslezský kraj","CZ080","11316"
"Narození","4355","2001","2001","Česko","CZ","90978"
"Narození","4355","2001","2001","Praha","CZ01","9703"
"Narození","4355","2001","2001","Střední Čechy","CZ02","10067"
"Narození","4355","2001","2001","Jihozápad","CZ03","10358"
"Narození","4355","2001","2001","Severozápad","CZ04","10858"
"Narození","4355","2001","2001","Severovýchod","CZ05","13476"
"Narození","4355","2001","2001","Jihovýchod","CZ06","14223"
"Narození","4355","2001","2001","Střední Morava","CZ07","10918"
"Narození","4355","2001","2001","Moravskoslezsko","CZ08","11375"
"Narození","4355","2001","2001","Hlavní město Praha","CZ010","9703"
"Narození","4355","2001","2001","Středočeský kraj","CZ020","10067"
"Narození","4355","2001","2001","Jihočeský kraj","CZ031","5570"
"Narození","4355","2001","2001","Plzeňský kraj","CZ032","4788"
"Narození","4355","2001","2001","Karlovarský kraj","CZ041","2926"
"Narození","4355","2001","2001","Ústecký kraj","CZ042","7932"
"Narození","4355","2001","2001","Liberecký kraj","CZ051","4028"
"Narození","4355","2001","2001","Královéhradecký kraj","CZ052","4967"
"Narození","4355","2001","2001","Pardubický kraj","CZ053","4481"
"Narození","4355","2001","2001","Kraj Vysočina","CZ063","4579"
"Narození","4355","2001","2001","Jihomoravský kraj","CZ064","9644"
"Narození","4355","2001","2001","Olomoucký kraj","CZ071","5729"
"Narození","4355","2001","2001","Zlínský kraj","CZ072","5189"
"Narození","4355","2001","2001","Moravskoslezský kraj","CZ080","11375"
"Narození","4355","2002","2002","Česko","CZ","93047"
"Narození","4355","2002","2002","Praha","CZ01","9718"
"Narození","4355","2002","2002","Střední Čechy","CZ02","10511"
"Narození","4355","2002","2002","Jihozápad","CZ03","10652"
"Narození","4355","2002","2002","Severozápad","CZ04","11162"
"Narození","4355","2002","2002","Severovýchod","CZ05","13774"
"Narození","4355","2002","2002","Jihovýchod","CZ06","14865"
"Narození","4355","2002","2002","Střední Morava","CZ07","10885"
"Narození","4355","2002","2002","Moravskoslezsko","CZ08","11480"
