Ukazatel,IndicatorType,Roky,CasR,"ČR, Reg. soudržnosti, Kraje",Uz012,Hodnota,Uz01A
Narození,4355,2000,2000,Česko,CZ,91169.0,CZ
Narození,4355,2000,2000,Praha,CZ01,9472.0,CZ01
Narození,4355,2000,2000,Střední Čechy,CZ02,9962.0,CZ02
Narození,4355,2000,2000,Jihozápad,CZ03,10576.0,CZ03
Narození,4355,2000,2000,Severozápad,CZ04,10953.0,CZ04
Narození,4355,2000,2000,Severovýchod,CZ05,13700.0,CZ05
Narození,4355,2000,2000,Jihovýchod,CZ06,14367.0,CZ06
Narození,4355,2000,2000,Střední Morava,CZ07,10823.0,CZ07
Narození,4355,2000,2000,Moravskoslezsko,CZ08,11316.0,CZ08
Narození,4355,2000,2000,Hlavní město Praha,CZ010,9472.0,CZ01
Narození,4355,2000,2000,Středočeský kraj,CZ020,9962.0,CZ02
Narození,4355,2000,2000,Jihočeský kraj,CZ031,5673.0,CZ03
Narození,4355,2000,2000,Plzeňský kraj,CZ032,4903.0,CZ03
Narození,4355,2000,2000,Karlovarský kraj,CZ041,2907.0,CZ04
Narození,4355,2000,2000,Ústecký kraj,CZ042,8046.0,CZ04
Narození,4355,2000,2000,Liberecký kraj,CZ051,4099.0,CZ05
Narození,4355,2000,2000,Královéhradecký kraj,CZ052,4977.0,CZ05
Narození,4355,2000,2000,Pardubický kraj,CZ053,4624.0,CZ05
Narození,4355,2000,2000,Kraj Vysočina,CZ063,4775.0,CZ06
Narození,4355,2000,2000,Jihomoravský kraj,CZ064,9592.0,CZ06
Narození,4355,2000,2000,Olomoucký kraj,CZ071,5520.0,CZ07
Narození,4355,2000,2000,Zlínský kraj,CZ072,5303.0,CZ07
Narození,4355,2000,2000,Moravskoslezský kraj,CZ080,11316.0,CZ08
Narození,4355,2001,2001,Česko,CZ,90978.0,CZ
Narození,4355,2001,2001,Praha,CZ01,9703.0,CZ01
Narození,4355,2001,2001,Střední Čechy,CZ02,10067.0,CZ02
Narození,4355,2001,2001,Jihozápad,CZ03,10358.0,CZ03
Narození,4355,2001,2001,Severozápad,CZ04,10858.0,CZ04
Narození,4355,2001,2001,Severovýchod,CZ05,13476.0,CZ05
Narození,4355,2001,2001,Jihovýchod,CZ06,14223.0,CZ06
Narození,4355,2001,2001,Střední Morava,CZ07,10918.0,CZ07
Narození,4355,2001,2001,Moravskoslezsko,CZ08,11375.0,CZ08
Narození,4355,2001,2001,Hlavní město Praha,CZ010,9703.0,CZ01
Narození,4355,2001,2001,Středočeský kraj,CZ020,10067.0,CZ02
Narození,4355,2001,2001,Jihočeský kraj,CZ031,5570.0,CZ03
Narození,4355,2001,2001,Plzeňský kraj,CZ032,4788.0,CZ03
Narození,4355,2001,2001,Karlovarský kraj,CZ041,2926.0,CZ04
Narození,4355,2001,2001,Ústecký kraj,CZ042,7932.0,CZ04
Narození,4355,2001,2001,Liberecký kraj,CZ051,4028.0,CZ05
Narození,4355,2001,2001,Královéhradecký kraj,CZ052,4967.0,CZ05
Narození,4355,2001,2001,Pardubický kraj,CZ053,4481.0,CZ05
Narození,4355,2001,2001,Kraj Vysočina,CZ063,4579.0,CZ06
Narození,4355,2001,2001,Jihomoravský kraj,CZ064,9644.0,CZ06
Narození,4355,2001,2001,Olomoucký kraj,CZ071,5729.0,CZ07
Narození,4355,2001,2001,Zlínský kraj,CZ072,5189.0,CZ07
Narození,4355,2001,2001,Moravskoslezský kraj,CZ080,11375.0,CZ08
Narození,4355,2002,2002,Česko,CZ,93047.0,CZ
Narození,4355,2002,2002,Praha,CZ01,9718.0,CZ01
Narození,4355,2002,2002,Střední Čechy,CZ02,10511.0,CZ02
Narození,4355,2002,2002,Jihozápad,CZ03,10652.0,CZ03
Narození,4355,2002,2002,Severozápad,CZ04,11162.0,CZ04
Narození,4355,2002,2002,Severovýchod,CZ05,13774.0,CZ05
Narození,4355,2002,2002,Jihovýchod,CZ06,14865.0,CZ06
Narození,4355,2002,2002,Střední Morava,CZ07,10885.0,CZ07
Narození,4355,2002,2002,Moravskoslezsko,CZ08,11480.0,CZ08
Narození,4355,2002,2002,Hlavní město Praha,CZ010,9718.0,CZ01
Narození,4355,2002,2002,Středočeský kraj,CZ020,10511.0,CZ02
Narození,4355,2002,2002,Jihočeský kraj,CZ031,5747.0,CZ03
Narození,4355,2002,2002,Plzeňský kraj,CZ032,4905.0,CZ03
Narození,4355,2002,2002,Karlovarský kraj,CZ041,2957.0,CZ04
Narození,4355,2002,2002,Ústecký kraj,CZ042,8205.0,CZ04
Narození,4355,2002,2002,Liberecký kraj,CZ051,4148.0,CZ05
Narození,4355,2002,2002,Královéhradecký kraj,CZ052,4964.0,CZ05
Narození,4355,2002,2002,Pardubický kraj,CZ053,4662.0,CZ05
Narození,4355,2002,2002,Kraj Vysočina,CZ063,4765.0,CZ06
Narození,4355,2002,2002,Jihomoravský kraj,CZ064,10100.0,CZ06
Narození,4355,2002,2002,Olomoucký kraj,CZ071,5682.0,CZ07
Narození,4355,2002,2002,Zlínský kraj,CZ072,5203.0,CZ07
Narození,4355,2002,2002,Moravskoslezský kraj,CZ080,11480.0,CZ08
Narození,4355,2003,2003,Česko,CZ,93957.0,CZ
Narození,4355,2003,2003,Praha,CZ01,10080.0,CZ01
Narození,4355,2003,2003,Střední Čechy,CZ02,10671.0,CZ02
Narození,4355,2003,2003,Jihozápad,CZ03,10712.0,CZ03
Narození,4355,2003,2003,Severozápad,CZ04,11273.0,CZ04
Narození,4355,2003,2003,Severovýchod,CZ05,13822.0,CZ05
Narození,4355,2003,2003,Jihovýchod,CZ06,14813.0,CZ06
Narození,4355,2003,2003,Střední Morava,CZ07,11000.0,CZ07
Narození,4355,2003,2003,Moravskoslezsko,CZ08,11586.0,CZ08
Narození,4355,2003,2003,Hlavní město Praha,CZ010,10080.0,CZ01
Narození,4355,2003,2003,Středočeský kraj,CZ020,10671.0,CZ02
Narození,4355,2003,2003,Jihočeský kraj,CZ031,5760.0,CZ03
Narození,4355,2003,2003,Plzeňský kraj,CZ032,4952.0,CZ03
Narození,4355,2003,2003,Karlovarský kraj,CZ041,2898.0,CZ04
