"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Věk (jednoleté skupiny)","VEKZEN1PLOD","Hodnota"
"Míry plodnosti","5406","2001","2001","Česko","CZ","15","410015610016000","1.2348156266"
"Míry plodnosti","5406","2001","2001","Česko","CZ","16","410016610017000","3.3536585366"
"Míry plodnosti","5406","2001","2001","Česko","CZ","17","410017610018000","7.8142850615"
"Míry plodnosti","5406","2001","2001","Česko","CZ","18","410018610019000","16.114645894"
"Míry plodnosti","5406","2001","2001","Česko","CZ","19","410019610020000","27.9337694668"
"Míry plodnosti","5406","2001","2001","Česko","CZ","20","410020610021000","40.0839454355"
"Míry plodnosti","5406","2001","2001","Česko","CZ","21","410021610022000","49.9279761292"
"Míry plodnosti","5406","2001","2001","Česko","CZ","22","410022610023000","58.3937241396"
"Míry plodnosti","5406","2001","2001","Česko","CZ","23","410023610024000","70.6230141642"
"Míry plodnosti","5406","2001","2001","Česko","CZ","24","410024610025000","82.8294080204"
"Míry plodnosti","5406","2001","2001","Česko","CZ","25","410025610026000","95.6584419185"
"Míry plodnosti","5406","2001","2001","Česko","CZ","26","410026610027000","99.1485645672"
"Míry plodnosti","5406","2001","2001","Česko","CZ","27","410027610028000","97.2687582496"
"Míry plodnosti","5406","2001","2001","Česko","CZ","28","410028610029000","89.3880104513"
"Míry plodnosti","5406","2001","2001","Česko","CZ","29","410029610030000","78.1003617475"
"Míry plodnosti","5406","2001","2001","Česko","CZ","30","410030610031000","68.1616464193"
"Míry plodnosti","5406","2001","2001","Česko","CZ","31","410031610032000","58.3684544772"
"Míry plodnosti","5406","2001","2001","Česko","CZ","32","410032610033000","45.2842114768"
"Míry plodnosti","5406","2001","2001","Česko","CZ","33","410033610034000","37.6026398588"
"Míry plodnosti","5406","2001","2001","Česko","CZ","34","410034610035000","29.4211413217"
"Míry plodnosti","5406","2001","2001","Česko","CZ","35","410035610036000","23.2890644576"
"Míry plodnosti","5406","2001","2001","Česko","CZ","36","410036610037000","19.2782646739"
"Míry plodnosti","5406","2001","2001","Česko","CZ","37","410037610038000","14.6403029028"
"Míry plodnosti","5406","2001","2001","Česko","CZ","38","410038610039000","9.9166878562"
"Míry plodnosti","5406","2001","2001","Česko","CZ","39","410039610040000","8.4501203744"
"Míry plodnosti","5406","2001","2001","Česko","CZ","40","410040610041000","5.6952782736"
"Míry plodnosti","5406","2001","2001","Česko","CZ","41","410041610042000","3.6897343391"
"Míry plodnosti","5406","2001","2001","Česko","CZ","42","410042610043000","2.0037570445"
"Míry plodnosti","5406","2001","2001","Česko","CZ","43","410043610044000","1.0493933644"
"Míry plodnosti","5406","2001","2001","Česko","CZ","44","410044610045000","0.6081574182"
"Míry plodnosti","5406","2001","2001","Česko","CZ","45","410045610046000","0.275637576"
"Míry plodnosti","5406","2001","2001","Česko","CZ","46","410046610047000","0.0258655251"
"Míry plodnosti","5406","2001","2001","Česko","CZ","47","410047610048000","0.0511012315"
"Míry plodnosti","5406","2001","2001","Česko","CZ","48","410048610049000","0.0125248932"
"Míry plodnosti","5406","2001","2001","Česko","CZ","49","410049610050000","0.0245101043"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","15","410015610016000","0.4718464926"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","16","410016610017000","0.9140767824"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","17","410017610018000","4.1058394161"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","18","410018610019000","7.0546737213"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","19","410019610020000","12.4223602484"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","20","410020610021000","17.6286236615"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","21","410021610022000","26.8077601411"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","22","410022610023000","29.6719896418"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","23","410023610024000","39.4250513347"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","24","410024610025000","50.6103006847"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","25","410025610026000","68.9688621593"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","26","410026610027000","81.9827504502"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","27","410027610028000","91.862745098"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","28","410028610029000","97.2716488731"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","29","410029610030000","98.1308411215"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","30","410030610031000","89.7885196375"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","31","410031610032000","83.8066388994"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","32","410032610033000","67.0427709263"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","33","410033610034000","52.0888418826"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","34","410034610035000","41.2921714211"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","35","410035610036000","31.488191928"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","36","410036610037000","32.5829383886"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","37","410037610038000","23.2666900503"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","38","410038610039000","14.8213833291"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","39","410039610040000","12.5243529084"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","40","410040610041000","9.9840833454"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","41","410041610042000","6.0623983439"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","42","410042610043000","3.5380696292"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","43","410043610044000","1.5432098765"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","44","410044610045000","0.9451795841"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","45","410045610046000","0.2230649119"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","46","410046610047000","0"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","47","410047610048000","0"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Praha","CZ01","49","410049610050000","0.09797198"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","15","410015610016000","1.2994513428"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","16","410016610017000","3.2970183486"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","17","410017610018000","5.5516014235"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","18","410018610019000","14.5268400664"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","19","410019610020000","25.7627118644"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","20","410020610021000","42.3315310563"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","21","410021610022000","50.4724315273"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","22","410022610023000","61.3726352838"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","23","410023610024000","72.0720720721"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","24","410024610025000","85.3185014167"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","25","410025610026000","105.2739165985"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","26","410026610027000","100.0400560785"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","27","410027610028000","102.6011560694"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","28","410028610029000","97.1511239706"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","29","410029610030000","70.4124327555"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","30","410030610031000","71.5633253679"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","31","410031610032000","58.3410504035"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","32","410032610033000","42.1860019175"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","33","410033610034000","36.6652725498"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","34","410034610035000","27.9376667135"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","35","410035610036000","24.0318593793"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","36","410036610037000","16.2239958132"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","37","410037610038000","13.8321696746"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","38","410038610039000","9.3444711879"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","39","410039610040000","8.1731496897"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","40","410040610041000","5.5206256709"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","41","410041610042000","4.0154440154"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","42","410042610043000","1.7518248175"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","43","410043610044000","1.1961722488"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","44","410044610045000","0.4972650423"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","45","410045610046000","0.7263922518"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","46","410046610047000","0"
